TICKER,sector,industry
BIDU,Communication Services,Internet Content & Information
IBN,Financial Services,Banks - Regional
AMZN,Consumer Cyclical,Internet Retail
SNOW,Technology,Software - Application
9988,,
522,,
GTLB,Technology,Software - Infrastructure
1810,,
PANW,Technology,Software - Infrastructure
NXE,Energy,Uranium
2590,,
SE,Consumer Cyclical,Internet Retail
ASML,Technology,Semiconductor Equipment & Materials
3109,,
6181,,
MU,Technology,Semiconductors
2621,,
2367,,
FSLR,Technology,Solar
7747,,
3908,,
NVDA,Technology,Semiconductors
NFLX,Communication Services,Entertainment
NU,Financial Services,Banks - Regional
MBAV,Financial Services,Shell Companies
OSCR,Healthcare,Healthcare Plans
3931,,
INTC,Technology,Semiconductors
8031,,
DIVO,,
TSM,Technology,Semiconductors
MELI,Consumer Cyclical,Internet Retail
3690,,
6762,,
NXT,Technology,Solar
LULU,Consumer Cyclical,Apparel Retail
8058,,
386,,
MSFT,Technology,Software - Infrastructure
LYB,Basic Materials,Specialty Chemicals
GOOG,Communication Services,Internet Content & Information
UNH,Healthcare,Healthcare Plans
9868,,
ANET,Technology,Computer Hardware
TACO,Financial Services,Shell Companies
ONON,Consumer Cyclical,Footwear & Accessories
MBLY,Consumer Cyclical,Auto Parts
9880,,
TMV,,
SPOT,Communication Services,Internet Content & Information
GLD,,
SMCI,Technology,Computer Hardware
BAGY,,
CRCL,Financial Services,Capital Markets
3750,,
GDS,Technology,Information Technology Services
TER,Technology,Semiconductor Equipment & Materials
RTAC,Financial Services,Shell Companies
175,,
WMT,Consumer Defensive,Discount Stores
META,Communication Services,Internet Content & Information
AR,Energy,Oil & Gas E&P
9660,,
RDDT,Communication Services,Internet Content & Information
2498,,
BAC,Financial Services,Banks - Diversified
MMYT,Consumer Cyclical,Travel Services
JD,Consumer Cyclical,Internet Retail
MTSR,Healthcare,Biotechnology
981,,
BABA,Consumer Cyclical,Internet Retail
REGN,Healthcare,Biotechnology
2525,,
9961,,
SOFI,Financial Services,Credit Services
LLY,Healthcare,Drug Manufacturers - General
TSLA,Consumer Cyclical,Auto Manufacturers
OXY,Energy,Oil & Gas E&P
CSCO,Technology,Communication Equipment
NKE,Consumer Cyclical,Footwear & Accessories
JPM,Financial Services,Banks - Diversified
386,,
9988,,
522,,
9868,,
1810,,
9880,,
2590,,
6181,,
3109,,
3750,,
175,,
9660,,
2621,,
2367,,
2498,,
7747,,
3908,,
981,,
3931,,
2525,,
8031,,
9961,,
3690,,
6762,,
8058,,
